,0
1418,1.5 baths
1419,"1,509 sqft"
1420," $1,950,000  "
1421, 06/04/18  
1422,Single Family
1423,1900
1424,No Data
1425,No Data
1426,No Data
1427,"2,848 sqft"
1428,"924 Noe St, San Francisco, CA 94114 "
1429,3 beds
1430,2 baths
1431,"1,592 sqft"
1432," $4,000,000  "
1433, 06/02/18  
1434,Single Family
1435,1905
1436,No Data
1437,No Data
1438,Attached Garage
1439,"2,613 sqft"
1440,"2083 18th Ave, San Francisco, CA 94116 "
1441,4 beds
1442,2 baths
1443,"1,810 sqft"
1444," $1,550,000  "
1445, 06/01/18  
